campaign_id,comment_id,comment_description,sentiment
2600_1,17952944953422766,Come back fresh 👏👏,Positive
2600_1,17957577547410366,@amylb____ thanks lovely,Positive
2600_1,17960433025393403,I know the feeling! ❤️,Positive
2600_1,17972670190370133,@sally.capewell rubbish sometimes isn't it x,Positive
2600_1,18035390386289567,I just cant keep up wih instagram anymore,Negative
2600_1,18077001109257889,@houseofkingskidswear gets like that doesn't it,Positive
2600_1,18198095359064298,I've been struggling with mine too! I feel you ❤️,Positive
2600_1,18200806534013788,"@mumto2.5boys I don't mind keeping on top of it, if I'm getting the same back x",Negative
2600_1,18202076314022476,Look at you 😍😍 hopefully you have a better week next week! Xx,Positive
2600_1,17958195713365078,❤️❤️❤️ my little princess ❤️❤️❤️,Positive
2333,17999394992074319,@hinaashh 🙏✨🪔,Positive
2333,18030334567711043,@dharadxb 🙌🙌❤️ yes 👍,Positive
2600_4,18110220127133552,منور بوخليفة 💙,Positive
2600_2,18379838308032448,Lovely,Positive
2600_2,17980126010579145,👏👏,Positive
2600_2,18029241700648341,8 🎃,Negative
2600_2,17965713527646971,7,Negative
2600_2,18067426312439805,6,Negative
2600_2,18239017459240981,👏👏👏,Positive
2600_4,17858308626034300,❤️‍🔥❤️‍🔥❤️‍🔥,Positive
2333,17852318043069366,I want 😍,Positive
2333,18023278408816168,Looks good,Positive
2333,17905872821800616,😍😍😍,Positive
2333,17856478827069386,😍😍,Positive
2333,18102169903367288,Fatka,Positive
2333,17843292810120831,😻❤️✨,Positive
2333,18032257522676430,🔥❤️,Positive
2333,17894134673939792,How to buy,Positive
2333,18048045409306459,Nyc,Positive
2333,18383100421071778,15000 per set,Positive
2600_2,17988455609228383,"@lordsmythe1908 😂I love this!!!! Leave it with me, I’ll see what I can do 😜",Positive
2600_2,17998288484266765,@bethgore_singer it is all good at the moment!!! Ps - I land at 8am on Friday morning so get the coffees ready at soundcheck haha!!!!,Negative
2600_2,18051707518501459,@jorochellmusic omg Jo you are crazyyyyyyy lolll bless your heart. Looking forward to seeing you ❤️,Positive
2600_2,18058183150473106,"@jorochellmusic  have you had the chance to see the television drama on Channel 5 ""The Good Ship Murder"" starring Shane Warde and Catherine Tyldesley?",Negative
2600_2,18058994353433233,@jorochellmusic Haha! Brilliant.... maybe I should be your agent? 😂,Positive
2600_2,18097331119369426,"@jorochellmusic it's really cheesey, inoffensive viewing - I'd go as far to say it's that bad it's good! Definitely needs a cameo appearance from you? A duet with Shayne Ward would be wonderful - get onto your agent Jo 😃",Negative
2600_2,17867122248009818,@viking_mood thank you so much 🥰,Negative
2600_2,17908941686815779,@kira.elina.crafts thank you Kira ! 🥰,Positive
2600_2,17978362010542973,Beautiful photo💚🌿🍂,Positive
2600_2,17988150068222905,Amazing photo! 😍👏,Positive
2600_2,17989456877458741,👏👏👏,Positive
2600_2,17990364428516825,@dragonstonecrafts that wasn't intentional! 🥰🍂,Negative
2600_2,18004174574296802,So beautiful 💛🌼,Positive
2600_4,17849521121164435,@ama___111 ❤️❤️,Positive
2600_2,17968801808499544,"Aruba è stata scoperta dagli spagnoli nel 1499, ed è entrata a far parte di territori dei Paesi Bassi nel 1636. È stata membro delle Antille Olandesi fino al loro scioglimento (1986). 
La popolazione complessiva ammonta a 105.800 abitanti, e professa per la maggior parte il cristianesimo, in particolare la confessione cattolica. Oltre al Neerlandese, si parlano il papiamento (creolo basato sul portoghese con influenze anche da altre lingue) ma anche lo spagnolo e l'inglese. L'inno ufficiale è ""𝘈𝘳𝘶𝘣𝘢 𝘋𝘶𝘴𝘩𝘪 𝘛𝘦𝘳𝘢"" (""𝘕𝘢𝘻𝘪𝘰𝘯𝘦 𝘗𝘳𝘦𝘻𝘪𝘰𝘴𝘢""), scritto da Juan Chabaya Lampe, composto musicalmente da Rufo Wever e diventato ufficiale nel 1976. 
La Bandiera è formata dal blu (che rappresenta il Mar dei Caraibi), dalla stella rossa bordata di bianco, che simboleggia la posizione dell'isola e ricorda i colori della madrepatria, e dalle due striscie parallele gialle, che indicano l'indipendenza, la vicinanza agli altri Paesi e arcipelaghi, le spiagge e la prosperità.",Negative
2600_2,17978266712547703,"Ha il clima migliore del mondo, con le temperature migliori del mondo che oscillano tra i 25 ed i 28°C. per tutto l'anno",Positive
2600_2,18010743352959751,"Parliamo dei vari Haljman, Franklin Lewis (rispettivamente Noordwijk e Lisse, terza serie), Fernando Lewis e Baly (entrambi difensori dell'Oostzaan, sempre in Tweede Divisie), dal trio dei dilettanti del Sportclub Feyenoord, composto da Walter Bennett, Jeremy van Uunen e Diederick Luydens, infine dei migliori prospetti, entrambi nelle giovanili dell'Excelsior, ovvero Molina e Nedd, appena maggiorenni.
ll giocatore con maggior esperienza su alti palcoscenico è Gregor Flanegin Breinburg, centrocampista che militava fino a pochi mesi fa, prima di rimanere svincolato, nell' ADO Den Haag, ma ex Sparta Rotterdam, NEC Nijmegen e De Graafschap. 
Ci sono poi Terence Groothusen, attaccante che ha giocato a Malta con la maglia del Silema Wanderers e in Grecia, e Paul Nickenson, centrale di difesa dell' AO Poros, club del terzo livello ellenico. 
Nel raggruppamento Nord della quinta serie tedesca, con la casacca del Neustrelitz, troviamo Javier Jiménez.",Negative
2600_2,18015827983903313,"@footlegacypt mate im currently restricted from following on this account, followed you back from my backup account if you dont mind 👍🏻",Negative
2600_2,18027994576710082,F4f? 👍🏻,Positive
2600_2,18025648579690112,😍😍😍,Positive
2600_2,17978310344603265,😍,Positive
2201,17923642961259833,😍😍😍 ماشاءلله شي روعة,Positive
2201,17917020791501628,😋😋😋,Positive
2201,17935058564041937,😍😍👏 مبدعه دمدوم,Positive
2201,17953815166704921,ي سلام رائعه ❤️,Positive
2201,17928892802313730,تسلم ايدك ❤️,Positive
2201,18264521341075339,شو هالجمال ما شاء الله ❤️,Positive
2201,17908503296366605,روعة😍,Positive
2201,17865790445657240,حلا على حلا❤️❤️,Positive
2201,17924231954276310,شو طيبه  وبتشهي,Negative
2201,17950933345742543,مرررررررره تجنن❤️,Negative
2201,17944904122872036,زبدة لورباك أفضل زبدة للأمانه من ناحية النكهة والرائحة والطعم 😍😍,Positive
2201,18224262487117320,بتشهييي 😍😍,Negative
2201,17941196413823482,تسلم الأيادي حبيبتي ❤️,Positive
2201,18046097125326033,❤️❤️❤️,Positive
2201,18281522044037665,😍,Positive
2201,17940283246838889,🔥🔥,Positive
2201,17923605317217040,😍😍😍😍,Positive
2201,17855095628722162,🔥🔥🔥,Positive
2201,17942285830798839,👏👏❤️,Positive
2201,17891823212604172,🔥🔥🔥,Positive
2201,18105301009303629,😋😋😋,Positive
2333,18013670678069279,🔥🔥,Positive
2600_2,18027146677670849,Gostei é super me interessei…quero obter mais informações!,Negative
2600_2,18027629755709292,@jozearce 😍😍😍😍😍,Positive
2600_2,18030369424642012,@eumgcarvalho oi amor! Vou te mandar um direct pra ver se você está mandando mensagem para o contato certo,Positive
2600_2,18032031709627059,@salete.freitas_38 😍😍😍😍,Positive
2600_2,18034714702614695,@karllinhapatricio lindo né ❤️😍😍 Endolifting,Negative
2600_2,18036358018594885,São quantas sessões?,Positive
2600_2,18040361902515170,@drathaine_malinowski de nada Doutora boa tarde,Negative
2600_2,18044394301544092,@meirerosi #endolifting ❤️,Negative
2600_2,18060594337463653,@drathaine_malinowski ahh sim! Realmente um resultado incrível!! 👏🏻👏🏻,Negative
2600_2,18065015494447603,O que foi feito ?,Positive
2600_2,18066447922451453,@marley_e_elas muiiiitaaaas🔥🔥🔥,Positive
2600_2,18069110452403587,O que ela fez,Negative
2600_2,18087135694378981,Eu gostaria de fazer,Negative
2600_2,18201825742278451,@fefe_lobo11 😍😍vamossss,Negative
2600_4,18009009319830604,وين تنزل الحلقة ؟؟؟,Negative
2600_2,17842859736087843,😂😂,Positive
2600_2,17891879114846454,Superb,Positive
2600_2,17938401731742121,😂,Positive
2600_2,17977795721543903,Water+ milkbikis 🤪,Negative
2600_2,17998333040185555,Macha🔥🔥🔥🔥🔥🔥,Positive
2600_2,18002402699316951,Aai at early morning be like : naan ready tha varava,Positive
2600_2,18010968628823463,Hi,Negative
2600_2,18012521275936052,😂🔥,Positive
2600_2,18014349034757879,Vanthu enna panna pora tea la tha vilapora 😭🤦‍♂️,Positive
2600_2,18017313751846369,Tea la thottu sapdurappo odayatha biscuit 🍪 ha make Pannu man,Positive
2600_2,18019130914693430,🔥🔥🔥😂,Positive
2600_2,18031329385577013,Ka x boy,Positive
2600_2,18041017819497007,Ommmala podu 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,Positive
2600_2,18068545003430166,Milkbikis using Amul's Marketing strategy ( Event marketing)📈,Positive
2600_2,18091721617374185,❤️,Positive
2600_2,18120878917319252,😂,Positive
2600_2,18199086121286078,❤️,Positive
2201,18211995340134098,يعطيكم الف عافية❤️❤️,Positive
2201,17961686377590330,مش بس الوصفه شكلها خطيره ❤️ دائمًا الادوات اللي تستخدميها من علب بهارات وصحون وكل الكلام دا شي فوق مستوى الاناقه 😍😍 اهنيييييكي اعشق الست الانيقه في ادوات مطبخها ❤️,Positive
2201,17867959169676047,❤️❤️❤️❤️❤️,Positive
2201,18010428886381781,خطيرة,Positive
2201,17968349233552921,ممكن اعرف ايه هي البهارات الصحيحه للكبسه,Positive
2201,18261429751076372,خفا زربا الله يعطيك الصحة,Positive
2201,18189985393094063,😍😍😍😍😍😍😍😍😍هي الشعرية بتاخد قد إيه ميه زيرالرز,Positive
2201,17994497077439064,@hananehamieh,Positive
2201,18225300280110214,وحشتنا الوصفات,Negative
2201,17956483042650188,😍😍😍😍,Positive
2201,17945501302871971,😍😍,Positive
2201,17922185792263138,That lookkks soooo.drooooooolllllll goooooodddd!!😍😍😍,Positive
2201,17936973298985766,Soooo simple 😮🔥,Positive
2201,17955942337714778,Creative 😍 Masha'Allah,Negative
2201,17912074841404041,Yummm😍trying this soon in sha Allah,Negative
2201,18032773633340288,Loved the making 😍😍👏,Positive
2600_1,17859867946600307,Great initiative by kotak 👍👍 Nice way to invest,Positive
2600_1,17861110675581221,Happy children's day to these cutties,Negative
2600_1,17861367031575376,This is really amazing,Positive
2600_1,17861850679564122,This is really amazing😀,Positive
2600_1,17862448039570204,@naturalnandini Yes it is,Positive
2600_1,17862987922561277,This is really so interesting 😍😍,Positive
2600_1,17865367165528909,Thanks for sharing the information💯,Positive
2600_1,17865394627547164,yes thanks for the info😍,Positive
2600_1,17865408682555550,@sugandhaduggal ya me too,Positive
2600_1,17866570969546585,Teacher should be taught the importance of saving . thanks to kotak for this initiative,Positive
2600_1,17866733812540469,This junior account sounds intresting...will check💕,Negative
2600_1,17875004845492363,That's an amazing concept 🌸,Positive
2600_1,17880457357466408,That’s a wonderful initiative 👍,Positive
2600_1,17888082700440722,Great initiative by kotak mahindra bank,Positive
2600_1,17889616531433642,@iwalktalk yup they r,Positive
2201,17946176650835608,Looks so yummmm. 😍😍,Positive
2600_1,18343004212046724,👏👏👏👏❤️,Positive
2600_1,18346714249020143,👏 Yay!! A big fan of Nevaeh 💗,Positive
2600_1,17879525165817183,Yummy xx,Negative
2600_1,18151409638304531,This looks magnificent 😍,Positive
2600_1,17949968231392302,Sounds yummy x,Positive
2600_1,17847143960966115,@thescousecoeliac it's so nice when we go out and nevaeh can eat 'normal' and not feel left out xx,Negative
2600_1,17864961614883402,@gluten_free_with_nevaeh have you tried the milkshakes 😍,Negative
2600_1,17900838746715561,@glutenfreetori Nevaeh said it was delicious 😋,Positive
2600_1,17904569165698284,"@gluten.free.tee she hasn't, but she was eyeing them up 😂 they will 100% given a try next time we go ❤️",Negative
2600_1,17924684480699837,I need this cake! I’ve always been too full for pudding 😂 maybe next time I’ll just eat this 😂,Positive
2600_1,17946553934505783,Yummy 🤤,Negative
2600_1,17908180003677884,I know how you feel 😢 sometimes Instagram feels not worth it! Looking lovely though xxx,Negative
2600_1,17962058624505854,@coeliacandmia thank you very much ❤️,Positive
2600_1,18229337329170537,Enya can’t wait to try some 😂,Negative
2600_1,17846617625190740,#biz_alert#promottedpromotalz,Negative
2600_1,17868285568822957,#children #childrenaccount #kidprenuer #babypreneur  #bbnaijareunion  #bigbrother #businessideas #newbusiness #babyprops #babyproducts #babyshower #babyshowerideas,Negative
2600_1,17868777721811751,❤️👏👏,Positive
2600_1,17867240444693096,That is true,Positive
2600_1,17905084007446575,#mutualtrustmfb #bank #microfinance #wednesdayvibes #wednesdaypost #currentaccount #savingsaccount #children #childrenaccount #infant #infantaccount #family #familyaccount #seamlesstransaction #police #policeofficer #civilservant #savings #future #investment #𝖁𝖞𝖊𝖆𝕰𝕬𝕾5𝖙 #𝖄𝖉𝖉𝕬𝖋𝖆𝕺𝕻88 #investwisely #politicians,Negative
2600_1,17937237443052914,Mutual trust nice one,Positive
2600_1,17938867084896206,Nice,Negative
2600_1,17943443272928234,Nice,Negative
2600_1,18289079956032827,Seamless transactions 😍,Positive
2600_1,17846359055424125,Hello! Would you be interested in repping for my shop? If you're interested please send me a DM 🤗 🤗,Negative
2600_1,17879196094877632,Your little one is so cute! 😍 dm @ wolfie.kids ~ would love to collab 😊🥰,Negative
2600_1,17892581308719618,Hello! Would you be interested in repping for my shop?💫 If you are intersted send me DM 💛,Negative
2600_1,17924882659456135,Cutest ever! Would you be interested in repping for my shop 💝? Message us,Positive
2600_1,17964840206325574,Congratulations Nevaeh 🥳 I’m definitely a big fan! 🙌💓,Negative
2201,17953377070692097,الله الله. 😍😍👏 ي ربي احبها. بالعافيه,Positive
2201,17992453465448643,يسعد مساكي وانت دايما قد التحدي 💪🏻💪🏻 تسلم الايادي الحلوة ❤️❤️❤️,Positive
2201,17923622477197637,تسلم الايادي,Positive
2201,17928840065152763,يعطيكي العافية😍,Positive
2201,17934974362915842,👏👏👏👏👏👏👏👏,Positive
2201,17916982838206729,اللهم بعدد قطرات المطر اسعد قلب كل من اسعدني وشجعني بإضافة مرحباً مليون 🥰♥️,Positive
2201,18149960437219267,لورباك الطريه هي فيها زيوت نباتيه مهدرجه,Positive
2201,17970419389554165,@doria_elhakim,Positive
2201,17932797685948522,@olallaaas حلويات و جبات صحية,Positive
2201,17984651605465131,"تفســير الأحــلام يـوميـا ❇️
:
‏@sultanshehri 
:
فـقط فـي قسـت اللايـف ❇️",Negative
2201,18106747096304654,@lady_dance_ksa حياكم في صفحتي,Positive
2201,17916700808344271,يسلم ايديك والله شكلها طيبة رح جربها 🤍🤍,Positive
2201,17936471026983199,ماشاء الله الله عليك ابو العز 👏,Positive
2201,17859696617681929,الله يقويك ياولدي لاتقول الله عليك  الله يعافيك,Positive
2201,17903567597525590,انا ما استغني عن لوررباك بالطبخ ابدا 😍,Positive
2201,18024861061329336,اكيد رح جربها برمضان 😋😋,Negative
2201,18012783793362621,خردل ديجون بالفرنسية النطق الصحيح,Negative
2600_1,17983599200041620,You should definitely share your experience on our website and enter our latest competition (it’s free to enter and you can win some lovely prizes) 🥰🥰,Negative
2600_1,17856522687011229,@the_coeliac_princess I know that feeling xx,Positive
2600_1,17908108010764906,"@the_coeliac_princess she loved it and asked if we can make another kind next week, tomato xx",Negative
2600_1,17992654625081395,@gluten_free_with_nevaeh blooming amazing!!! X,Positive
2600_1,18006460340054958,She is getting so big! ☺️🩷,Positive
2600_1,18009418087805153,"@gluten_free_with_nevaeh so proud of her xxx we are good thanks, just feel constantly busy lol x",Negative
2600_1,18073111678414543,"@the_coeliac_princess honestly couldn't be prouder, she's coming on leaps and bounds with her eating. I hope you are all well xx",Negative
2600_1,18125913871310065,"@scaredwheatless I know 😱 she seems to have really grown up the last few months , she turns 6 at the end of October x",Negative
2600_1,18390685864027614,Wow go Nevaeh 💕💕💕 did she enjoy it x,Negative
2600_1,17859868274661654,❤️❤️❤️,Positive
2600_1,17924086327936329,😍😍😍,Positive
2600_1,17987210320395014,❤️❤️❤️,Positive
2600_1,18181916650084955,Wow .  Pagawan ko din si baby ko,Positive
2600_1,17870118310342935,Good news to staff,Positive
2600_1,17877579302299550,Many blessings to you and your family on your new journey ❤️❤️❤️❤️,Positive
2201,18216876910187705,حلووووه عجبتني باسويها ان شاء الله بس انا حاشتري الكفته الجاهزه 😂,Positive
2600_1,17916883133261432,👏👏👏,Positive
2600_1,17938281445777768,@beccasbargainpage Aww thanks so much for using my code ❤️❤️,Positive
2600_1,17965668352501153,Iv just used your code for my kids gohenry card thanks 😊 xx,Negative
2600_1,18195051904145905,"Hey lovely. 
We have an amazing womens only mega loop next Thursday at 8pm. 
Just click here --> #gainswithusval
And click on the sign up post commenting your favourite colour to be added. 
Limited ghost places available 👻 
Hope to see you there ❤",Negative
2600_1,17900694044381439,I've just done this using your code. Does the £20 appear as soon as you activate the card? x,Positive
2600_1,17910840473349095,@sianmyringx Aww thanks for using ❤️,Positive
2600_1,17912103263486900,Used your link thank you x,Negative
2600_1,17946898159646654,"@mrssheaton Hi thanks for using code, yes once activated card, mine took less than an hour to show x",Positive
2600_2,18034953268611405,Done,Negative
2600_2,18037890826588604,@amouna942022,Positive
2600_2,18053309578495323,@hibakhaleddd,Positive
2600_2,18058002271474350,@nawa.lmhmoud,Positive
2600_2,18087646096381792,@miraalashi,Positive
2600_2,18119386027320346,@fatouma7058,Positive
2600_2,18135390112309937,@em.liya.56,Positive
2600_2,18161574520293650,@emj_od20,Positive
2600_2,18184315798305055,@leena.lkasem,Positive
2600_2,18202203988273567,@emhadi97,Positive
2600_2,18264837727166184,❤️,Positive
2600_2,18290983153180543,@miraalashi,Positive
2600_2,18293302597125403,😍,Positive
2600_2,18308427469141150,@moni.82750,Positive
2600_2,18309545521188670,👏👏,Positive
2600_2,18309560146116918,@emhadi97,Positive
2600_2,18320483614098238,@hibakhaleddd,Positive
2600_2,18391581889014063,@emalimohamad4,Positive
2600_2,18393290053033296,@amouna942022,Positive
2600_2,18397481194037260,@passo9636,Positive
2600_2,17970909098629782,You are SO busy!!!!! ❤️,Positive
2600_2,18020411098839047,Very autumnal 🍂 🍃,Positive
2600_2,17988183449220051,@osegredoestanafolha 😍❤️👏,Positive
2600_2,18266047723161334,@andreacesarresi muito obrigada pelo carinho amor ❤️ feliz demais em ver esse comentário! Mandei mensagem pra moça pra ver se ela tem nosso número correto ou se tá mandando para outro contato ❤️,Negative
2600_2,18389799727051612,Every day morning my day start with tea and milkbikis I remember my childhood age 10,Negative
2600_4,17858462666029007,@bumubarak44 ❤️❤️,Positive
2600_4,17858917442015490,@bo7meed__05 ❤️,Positive
2600_4,17860477759990120,@juergenmuc ❤️,Positive
